2015141024,7,5,8,1,0,10,3,4,1,5,8,3,1,6,3
2016123031,10,9,0,0,5,0,5,10,5,0,3,0,10,8,8
2015141056,10,9,8,3,2,4,4,5,3,9,9,2,5,8,7
2013141054,9,6,6,7,4,6,6,0,0,7,7,0,0,6,0
2015123018,7,0,0,5,0,7,2,3,2,10,6,7,1,9,3
2014123012,10,10,7,8,5,10,8,10,10,9,10,2,6,8,10
2015141031,10,10,10,3,6,6,4,5,3,5,5,0,1,4,0
2015141015,7,7,5,5,5,5,2,3,1,3,3,0,0,3,0
2015141059,0,4,4,0,7,2,7,9,9,1,6,8,9,10,1
2015141026,4,8,7,8,6,10,5,5,2,7,8,6,4,5,2
